Transaction ID,Year,Month,Day,Salesperson ID,Product ID,Serial No,ID Customer,List Price,Sales,Gross Margin
1001,2004,3,31,2002,1000,11001,1160,999,690,262
1002,2004,5,26,2011,1000,11002,1099,999,999,380
1003,2004,7,11,2005,1000,11003,1010,999,759,288
1004,2004,8,14,2020,1000,11004,1180,999,759,288
1004,2004,8,14,2020,1000,11005,1180,999,759,288
1005,2004,10,6,2035,1000,11006,1125,999,859,326
1006,2004,11,14,2011,1000,11007,1032,999,700,266
1007,2004,12,13,2001,1000,11008,1124,999,810,308
1007,2004,12,13,2001,1000,11009,1124,999,810,308
1007,2004,12,13,2001,1000,11010,1124,999,810,308
1007,2004,12,13,2001,1000,11011,1124,999,810,308
1008,2005,1,14,2037,1000,11012,1118,1199,1000,490
1009,2005,2,10,2002,1000,11013,1029,1199,859,421
1010,2005,3,14,2018,1000,11014,1159,1199,1090,534
1010,2005,3,14,2018,1000,11015,1159,1199,1090,534
1010,2005,3,14,2018,1000,11016,1159,1199,1090,534
1011,2005,4,20,2002,1000,11017,1176,1199,930,456
1011,2005,4,20,2002,1000,11018,1176,1199,930,456
1011,2005,4,20,2002,1000,11019,1176,1199,930,456
1011,2005,4,20,2002,1000,11020,1176,1199,930,456
1012,2005,5,17,2016,1000,11021,1035,1199,1159,568
1013,2005,6,21,2035,1000,11022,1113,1199,930,456
1014,2005,7,30,2019,1000,11023,1011,1199,900,441
1014,2005,7,30,2019,1000,11024,1011,1199,900,441
1014,2005,7,30,2019,1000,11025,1011,1199,900,441
1015,2005,8,30,2030,1000,11026,1111,1199,990,485
1016,2005,9,21,2031,1000,11027,1126,1199,1030,505
1017,2005,10,13,2012,1000,11028,1072,1199,1159,568
1018,2005,10,29,2002,1000,11029,1176,1199,1000,490
1019,2005,11,24,2018,1000,11030,1174,1199,810,397
1020,2005,12,17,2031,1000,11031,1092,1199,910,446
1021,2006,1,3,2002,1000,11032,1176,1299,900,504
1022,2006,1,18,2022,1000,11033,1036,1299,900,504
1023,2006,2,14,2006,1000,11034,1105,1299,1010,566
1024,2006,3,7,2006,1000,11035,1056,1299,1210,678
1025,2006,3,19,2025,1000,11036,1112,1299,1000,560
1026,2006,4,3,2010,1000,11037,1047,1299,1250,700
1026,2006,4,3,2010,1000,11038,1047,1299,1250,700
1026,2006,4,3,2010,1000,11039,1047,1299,1250,700
1027,2006,4,21,2012,1000,11040,1072,1299,1219,683
1028,2006,5,2,2015,1000,11041,1050,1299,1299,727
1029,2006,5,19,2017,1000,11042,1139,1299,1270,711
1030,2006,5,26,2022,1000,11043,1119,1299,1250,700
1031,2006,6,2,2017,1000,11044,1109,1299,1000,560
1031,2006,6,2,2017,1000,11045,1109,1299,1000,560
1031,2006,6,2,2017,1000,11046,1109,1299,1000,560
1031,2006,6,2,2017,1000,11047,1109,1299,1000,560
1031,2006,6,2,2017,1000,11048,1109,1299,1000,560
1031,2006,6,2,2017,1000,11049,1109,1299,1000,560
1032,2006,6,6,2002,1000,11050,1110,1299,1290,722
1033,2006,6,11,2020,1000,11051,1127,1299,930,521
1034,2006,6,14,2026,1000,11052,1143,1299,1230,689
1035,2006,6,16,2026,1000,11053,1079,1299,1179,660
1036,2006,6,19,2006,1000,11054,1043,1299,900,504
1037,2006,6,21,2026,1000,11055,1037,1299,1270,711
1038,2006,6,23,2037,1000,11056,1141,1299,1200,672
1039,2006,6,26,2016,1000,11057,1035,1299,930,521
1040,2006,6,29,2031,1000,11058,1126,1299,1210,678
1041,2006,7,2,2026,1000,11059,1079,1299,1059,593
1042,2006,7,5,2020,1000,11060,1180,1299,1000,560
1043,2006,7,8,2019,1000,11061,1115,1299,900,504
1044,2006,7,10,2031,1000,11062,1165,1299,1079,604
